gene	total	forward	reverse
001_CFTR_a_Nilmn_MixAMixB_ctrl M chr7:117307078-117307150	1325	0	1325
002_FLCN_1_Nilmn_MixAMixB_ctrl M chr17:17131259-17131319	352	0	352
003_GCH1_a_Nilmn_MixAMixB_ctrl M chr14:55332047-55332119	1039	0	1039
004_GPC3_1_Nilmn_MixAMixB_ctrl M chrX:132670260-132670326	905	0	905
005_IL1B_1_Nilmn_MixAMixB_ctrl M chr2:113590970-113591021	458	0	458
006_JAG1_a_Nilmn_MixAMixB_ctrl M chr20:10622384-10622447	700	0	700
007_OPTN_a_Nilmn_MixAMixB_ctrl M chr10:13142648-13142708	655	0	655
008_PANK2_1_Nilmn_MixAMixB_ctrl M chr20:3893229-3893286	627	0	627
009_BRCA1_up_a_Nilmn_MixB_ctrl M chr17:41277531-41277594	0	0	0
010_BRCA1_up_b_Nilmn_MixB_ctrl M chr17:41278182-41278242	0	0	0
011_BRCA1_ex1_a_Nilmn_MixA_ctrl M chr17:41277287-41277344	389	0	389
012_BRCA1_in1_a_Nilmn_MixA_ctrl M chr17:41277046-41277103	1146	0	1146
013_BRCA1_ex1_c_Nilmn_MixB_ctrl M chr17:41277397-41277459	0	0	0
014_BRCA1_ex2_a_Nilmn_MixA_ctrl M chr17:41276060-41276123	1336	0	1336
015_BRCA1_ex2_b_Nilmn_MixB_ctrl M chr17:41276019-41276094	0	0	0
016_BRCA1_ex3_a_Nilmn_MixA_ctrl M chr17:41267743-41267803	1252	0	1252
017_BRCA1_ex3_b_Nilmn_MixB_ctrl M chr17:41267716-41267791	0	0	0
018_BRCA1_ex4_a_Nilmn_MixA_ctrl M chr17:41258486-41258549	1759	0	1759
019_BRCA1_ex4_b_Nilmn_MixB_ctrl M chr17:41258432-41258517	0	0	0
020_BRCA1_ex5_a_Nilmn_MixA_ctrl M chr17:41256905-41256974	1925	0	1925
021_BRCA1_ex5_b_Nilmn_MixB_ctrl M chr17:41256858-41256936	0	0	0
022_BRCA1_ex6_a_Nilmn_MixA_ctrl M chr17:41256137-41256197	1677	0	1677
023_BRCA1_ex6_b_Nilmn_MixB_ctrl M chr17:41256178-41256250	0	0	0
024_BRCA1_ex7_a_Nilmn_MixA_ctrl M chr17:41251815-41251881	1509	0	1509
025_BRCA1_ex7_b_Nilmn_MixB_ctrl M chr17:41251863-41251941	0	0	0
026_BRCA1_ex8_a_Nilmn_MixA_ctrl M chr17:41249226-41249307	2252	0	2252
027_BRCA1_ex8_b_Nilmn_MixB_ctrl M chr17:41249219-41249294	2272	2272	0
028_BRCA1_ex9_a_Nilmn_MixA_ctrl M chr17:41247877-41247940	1569	0	1569
029_BRCA1_ex9_b_Nilmn_MixB_ctrl M chr17:41247855-41247921	0	0	0
030_BRCA1_ex10_a_Nilmn_MixA_ctrl M chr17:41246748-41246811	1388	0	1388
031_BRCA1_ex10_b_Nilmn_MixA_ctrl M chr17:41243935-41243995	1694	0	1694
032_BRCA1_ex10_c_Nilmn_MixB_ctrl M chr17:41245499-41245568	0	0	0
033_BRCA1_ex11_a_Nilmn_MixA_ctrl M chr17:41242961-41243027	1927	0	1927
034_BRCA1_ex11_b_Nilmn_MixB_ctrl M chr17:41242949-41243018	1929	1929	0
035_BRCA1_ex12_a_Nilmn_MixA_ctrl M chr17:41234500-41234560	1151	0	1151
036_BRCA1_ex12_b_Nilmn_MixB_ctrl M chr17:41234500-41234560	1151	0	1151
