gene	total	forward	reverse
001_CFTR_a_Nilmn_MixAMixB_ctrl M chr7:117307078-117307150	1781	0	1781
002_FLCN_1_Nilmn_MixAMixB_ctrl M chr17:17131259-17131319	764	0	764
003_GCH1_a_Nilmn_MixAMixB_ctrl M chr14:55332047-55332119	1663	0	1663
004_GPC3_1_Nilmn_MixAMixB_ctrl M chrX:132670260-132670326	1567	0	1567
005_IL1B_1_Nilmn_MixAMixB_ctrl M chr2:113590970-113591021	758	0	758
006_JAG1_a_Nilmn_MixAMixB_ctrl M chr20:10622384-10622447	998	0	998
007_OPTN_a_Nilmn_MixAMixB_ctrl M chr10:13142648-13142708	1343	0	1343
008_PANK2_1_Nilmn_MixAMixB_ctrl M chr20:3893229-3893286	1123	0	1123
009_BRCA1_up_a_Nilmn_MixB_ctrl M chr17:41277531-41277594	0	0	0
010_BRCA1_up_b_Nilmn_MixB_ctrl M chr17:41278182-41278242	0	0	0
011_BRCA1_ex1_a_Nilmn_MixA_ctrl M chr17:41277287-41277344	320	0	320
012_BRCA1_in1_a_Nilmn_MixA_ctrl M chr17:41277046-41277103	1093	0	1093
013_BRCA1_ex1_c_Nilmn_MixB_ctrl M chr17:41277397-41277459	0	0	0
014_BRCA1_ex2_a_Nilmn_MixA_ctrl M chr17:41276060-41276123	988	0	988
015_BRCA1_ex2_b_Nilmn_MixB_ctrl M chr17:41276019-41276094	0	0	0
016_BRCA1_ex3_a_Nilmn_MixA_ctrl M chr17:41267743-41267803	936	0	936
017_BRCA1_ex3_b_Nilmn_MixB_ctrl M chr17:41267716-41267791	0	0	0
018_BRCA1_ex4_a_Nilmn_MixA_ctrl M chr17:41258486-41258549	1234	0	1234
019_BRCA1_ex4_b_Nilmn_MixB_ctrl M chr17:41258432-41258517	0	0	0
020_BRCA1_ex5_a_Nilmn_MixA_ctrl M chr17:41256905-41256974	1536	0	1536
021_BRCA1_ex5_b_Nilmn_MixB_ctrl M chr17:41256858-41256936	0	0	0
022_BRCA1_ex6_a_Nilmn_MixA_ctrl M chr17:41256137-41256197	1077	0	1077
023_BRCA1_ex6_b_Nilmn_MixB_ctrl M chr17:41256178-41256250	0	0	0
024_BRCA1_ex7_a_Nilmn_MixA_ctrl M chr17:41251815-41251881	1135	0	1135
025_BRCA1_ex7_b_Nilmn_MixB_ctrl M chr17:41251863-41251941	0	0	0
026_BRCA1_ex8_a_Nilmn_MixA_ctrl M chr17:41249226-41249307	1839	0	1839
027_BRCA1_ex8_b_Nilmn_MixB_ctrl M chr17:41249219-41249294	1879	1879	0
028_BRCA1_ex9_a_Nilmn_MixA_ctrl M chr17:41247877-41247940	1439	0	1439
029_BRCA1_ex9_b_Nilmn_MixB_ctrl M chr17:41247855-41247921	0	0	0
030_BRCA1_ex10_a_Nilmn_MixA_ctrl M chr17:41246748-41246811	880	0	880
031_BRCA1_ex10_b_Nilmn_MixA_ctrl M chr17:41243935-41243995	1202	0	1202
032_BRCA1_ex10_c_Nilmn_MixB_ctrl M chr17:41245499-41245568	0	0	0
033_BRCA1_ex11_a_Nilmn_MixA_ctrl M chr17:41242961-41243027	1089	0	1089
