gene	total	forward	reverse
001_CFTR_a_Nilmn_MixAMixB_ctrl M chr7:117307078-117307150	1426	0	1426
002_FLCN_1_Nilmn_MixAMixB_ctrl M chr17:17131259-17131319	767	0	767
003_GCH1_a_Nilmn_MixAMixB_ctrl M chr14:55332047-55332119	1469	0	1469
004_GPC3_1_Nilmn_MixAMixB_ctrl M chrX:132670260-132670326	1337	0	1337
005_IL1B_1_Nilmn_MixAMixB_ctrl M chr2:113590970-113591021	739	0	739
006_JAG1_a_Nilmn_MixAMixB_ctrl M chr20:10622384-10622447	852	0	852
007_OPTN_a_Nilmn_MixAMixB_ctrl M chr10:13142648-13142708	1048	0	1048
008_PANK2_1_Nilmn_MixAMixB_ctrl M chr20:3893229-3893286	1005	0	1005
009_BRCA1_up_a_Nilmn_MixB_ctrl M chr17:41277531-41277594	0	0	0
010_BRCA1_up_b_Nilmn_MixB_ctrl M chr17:41278182-41278242	0	0	0
011_BRCA1_ex1_a_Nilmn_MixA_ctrl M chr17:41277287-41277344	326	0	326
012_BRCA1_in1_a_Nilmn_MixA_ctrl M chr17:41277046-41277103	814	0	814
013_BRCA1_ex1_c_Nilmn_MixB_ctrl M chr17:41277397-41277459	0	0	0
014_BRCA1_ex2_a_Nilmn_MixA_ctrl M chr17:41276060-41276123	1067	0	1067
015_BRCA1_ex2_b_Nilmn_MixB_ctrl M chr17:41276019-41276094	0	0	0
016_BRCA1_ex3_a_Nilmn_MixA_ctrl M chr17:41267743-41267803	809	0	809
017_BRCA1_ex3_b_Nilmn_MixB_ctrl M chr17:41267716-41267791	0	0	0
018_BRCA1_ex4_a_Nilmn_MixA_ctrl M chr17:41258486-41258549	1093	0	1093
019_BRCA1_ex4_b_Nilmn_MixB_ctrl M chr17:41258432-41258517	0	0	0
020_BRCA1_ex5_a_Nilmn_MixA_ctrl M chr17:41256905-41256974	1348	0	1348
021_BRCA1_ex5_b_Nilmn_MixB_ctrl M chr17:41256858-41256936	0	0	0
022_BRCA1_ex6_a_Nilmn_MixA_ctrl M chr17:41256137-41256197	960	0	960
023_BRCA1_ex6_b_Nilmn_MixB_ctrl M chr17:41256178-41256250	0	0	0
024_BRCA1_ex7_a_Nilmn_MixA_ctrl M chr17:41251815-41251881	1027	0	1027
025_BRCA1_ex7_b_Nilmn_MixB_ctrl M chr17:41251863-41251941	0	0	0
026_BRCA1_ex8_a_Nilmn_MixA_ctrl M chr17:41249226-41249307	1695	0	1695
027_BRCA1_ex8_b_Nilmn_MixB_ctrl M chr17:41249219-41249294	1738	1738	0
028_BRCA1_ex9_a_Nilmn_MixA_ctrl M chr17:41247877-41247940	1095	0	1095
029_BRCA1_ex9_b_Nilmn_MixB_ctrl M chr17:41247855-41247921	0	0	0
030_BRCA1_ex10_a_Nilmn_MixA_ctrl M chr17:41246748-41246811	833	0	833
031_BRCA1_ex10_b_Nilmn_MixA_ctrl M chr17:41243935-41243995	1040	0	1040
032_BRCA1_ex10_c_Nilmn_MixB_ctrl M chr17:41245499-41245568	0	0	0
033_BRCA1_ex11_a_Nilmn_MixA_ctrl M chr17:41242961-41243027	973	0	973
034_BRCA1_ex11_b_Nilmn_MixB_ctrl M chr17:41242949-41243018	1032	1032	0
035_BRCA1_ex12_a_Nilmn_MixA_ctrl M chr17:41234500-41234560	671	0	671
036_BRCA1_ex12_b_Nilmn_MixB_ctrl M chr17:41234500-41234560	671	0	671
037_BRCA1_ex12_c_Nilmn_MixB_ctrl M chr17:41234428-41234506	0	0	0
038_BRCA1_in12_a_Nilmn_MixA_ctrl M chr17:41231382-41231454	4844	0	4844
039_BRCA1_ex13_a_Nilmn_MixA_ctrl M chr17:41228533-41228599	1232	0	1232
040_BRCA1_ex13_b_Nilmn_MixB_ctrl M chr17:41228532-41228592	1231	0	1231
041_BRCA1_ex14_a_Nilmn_MixA_ctrl M chr17:41226433-41226496	1148	0	1148
042_BRCA1_ex14_b_Nilmn_MixB_ctrl M chr17:41226363-41226435	0	0	0
043_BRCA1_ex15_a_Nilmn_MixA_ctrl M chr17:41223191-41223248	1017	0	1017
044_BRCA1_ex15_b_Nilmn_MixB_ctrl M chr17:41223124-41223193	0	0	0
045_BRCA1_ex16_a_Nilmn_MixA_ctrl M chr17:41219642-41219711	1053	0	1053
046_BRCA1_ex16_b_Nilmn_MixB_ctrl M chr17:41219585-41219660	0	0	0
047_BRCA1_ex17_a_Nilmn_MixA_ctrl M chr17:41215911-41215974	1283	0	1283
048_BRCA1_ex17_b_Nilmn_MixB_ctrl M chr17:41215861-41215930	0	0	0
